Model,Historical MSE,Historical R-Square
Multiple Regression,0.021873620720762373,0.9781263792792376
Lasso,0.025223542648859537,0.9747764573511404
Ridge,0.021170923316368433,0.9788290766836316
ElasticNet,0.02595747535872171,0.9740425246412784
