Model,Historical MSE,Historical R-Square
Multiple Regression,0.01983809312362912,0.9801619068763708
Lasso,0.026202903558623102,0.9737970964413771
Ridge,0.019412119282520332,0.9805878807174796
ElasticNet,0.027061073957711537,0.9729389260422884
