Model,Historical MSE,Historical R-Square
ElasticNet,0.08317308281198585,0.916826917188014
Lasso,0.08711018419467867,0.9128898158053216
Multiple Regression,0.5503498902511731,0.4496501097488269
Ridge,0.4697560203270586,0.5302439796729415
