Model,Historical MSE,Historical R-Square
ElasticNet,0.06610133310376852,0.9338986668962316
Lasso,0.0610203158437348,0.9389796841562652
Multiple Regression,0.2895465064487502,0.7104534935512499
Ridge,0.2393519188283708,0.7606480811716292
