Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Costa Rica,CRI,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,37.3015873,40.12345679,32.24489796,31.02310231,30.95890411,32.80182232,29.91304348,28.48101266,31.0298103,26.20215898,25.71931885,31.3055852,31.33589885,30.28529627,28.33577713,26.54109589,18.20565435,17.33615222,27.55592378,27.86118632,35.20557677,33.3153406,32.27566756,32.44969584,39.7787092,39.39270463,40.09625914,38.62252242,39.62097455,39.86305126,,,38.04559211,37.81557267,37.15126979,38.3532831,37.44949963,32.83422408,33.04217349,33.57289366,32.84557902,32.65291864,32.12973784,30.67435121,29.68778434,30.38478869,26.91447318,
Caribbean small states,CSS,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.32258907,24.97397691,24.86700336,27.06447116,30.84389427,35.99351496,35.21252284,37.24012775,36.52831482,36.82858838,38.38617147,36.44939634,36.19974836,30.67257618,32.23622507,28.85490516,29.42851905,26.2427484,26.18971274,25.59546785,24.83859941,26.21377407,29.16287172,28.72784714,30.11106568,29.34409888,29.00273518,30.89100987,33.70098611,33.99499961,47.79951752,
Cuba,CUB,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,23.87774594,27.72342895,24.16557592,19.85932356,18.29733164,16.65104948,23.2459624,27.48572265,22.80711859,19.8750123,19.70339823,20.15866417,20.17612695,20.42015082,19.05722326,19.06684904,18.93758399,19.01056494,18.26311046,18.18821873,21.97175044,25.77440211,28.82104085,27.70738599,27.77253624,27.24198397,28.80678422,28.44860999,30.8044316,31.15606467,31.97718731,35.48550976,38.14717365,36.81988917,36.58810135,35.14747995,36.45674797,34.71104061,34.13992635,33.42531273,34.86247799,33.8141712,34.26104342,34.51287236,36.2190285,36.72735035,37.51732312,
Czech Republic,CZE,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.7142627,32.05093859,30.51045248,31.63144048,31.02022996,30.84254412,32.51687547,31.88498359,26.77486953,26.08976813,23.66912161,27.50957953,27.62248336,26.70917145,27.11989707,26.87971049,28.45892705,28.79774567,30.15453857,31.22895591,31.7283801,30.01606297,30.63556035,30.59590123,30.51362558,29.18839689,
Germany,DEU,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,28.33061185,26.59126558,24.60439392,24.53936042,23.90563478,23.02973244,23.65209989,24.15391134,23.1130635,22.75817775,21.39541661,21.99088608,23.34724858,22.31545138,21.85745816,22.4198867,22.62349591,23.1126844,23.84788684,23.87722842,23.1017525,23.1155032,23.62135509,21.79282779,20.40139538,20.03180696,20.34494651,21.37323293,21.60695186,22.13827584,22.34056806,22.30296921,22.13882166,22.78915597,22.70824672,24.02152255,23.8904721,24.59155521,24.65919477,24.7935463,24.27835554,23.88980893,23.50600359,23.08472523,22.01490832,21.94102406,21.29010914,
Djibouti,DJI,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,43.40091099,45.80910316,41.1137705,43.00693411,44.61945413,48.80756355,49.32493165,50.19903676,47.69912224,47.14187328,46.02092571,44.78126041,43.03344573,41.95904978,43.40766782,42.64363638,42.48505565,41.2915052,41.62736553,41.08525443,39.87327969,38.15149791,39.27014958,38.40295142,38.87604603,39.76689648,41.60584739,41.44164926,39.66766034,40.65477488,41.8987778,41.47730502,40.05359563,39.15110896,40.29593542,38.70038582,37.13843798,37.33827033,36.5745564,36.09544498,36.1516785,35.71779766,33.29185435,35.95597258,36.78440627,35.94766654,37.14955454,
Dominican Republic,DOM,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,19.2992533,18.34196891,16.75015027,16.14788835,21.96110211,23.64069715,23.93992933,25.15370952,22.06364309,26.08474749,33.37405326,31.51171043,33.96435644,34.41993131,34.73589607,26.00404225,21.23000563,20.15606164,22.97097683,21.01378358,26.15345482,28.33883336,33.9832993,34.19341281,34.02764567,34.81142069,35.68343842,30.15786502,25.65260852,35.34665847,35.61347968,41.9051949,41.21020908,47.87976767,53.90047437,55.76248685,57.816083,57.14098127,57.09618736,57.14680873,54.65868271,54.98839386,52.69612962,42.66910543,48.97611291,49.10593317,52.05849564,
Algeria,DZA,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific (excluding high income),EAP,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.57763664,26.8496195,27.84388664,,27.03444072,28.21210772,26.39064123,28.17176062,30.22097236,26.09021283,27.82777164,32.14952844,28.20980842,33.81532113,,,27.14888423,30.19499113,29.58780048,32.77474049,32.33321873,34.27858483,28.94071268,28.62206934,31.62133031,29.78496325,29.45830991,
Early-demographic dividend,EAR,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.30274688,30.1279354,32.67607058,,,,,,,,,,29.81141676,32.35985767,34.91582331,35.378837,34.86355057,,31.90598411,30.52403754,30.63261803,32.03352571,32.33321873,32.96617456,33.57374094,34.6279281,33.13976081,33.61884161,34.01140517,
East Asia & Pacific,EAS,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.95493286,24.86434583,27.84388664,,27.03444072,28.21210772,26.39064123,28.17176062,28.93564191,27.04402357,29.2214015,30.09355275,29.08580055,29.58000165,27.9118438,25.88560409,25.98612066,28.73201376,28.10692006,27.49559352,26.5351123,27.32678204,25.29507804,25.77010927,28.96978171,28.65655131,27.27645071,
Europe & Central Asia (excluding high income),ECA,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.34308893,39.6889842,39.8409712,41.12015879,39.51428508,41.38576357,41.25835672,38.287851,39.48396096,38.27060689,38.60809277,42.25391165,
Europe & Central Asia,ECS,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.15058749,33.18117477,33.03584693,32.96564464,34.01182103,34.483872,33.24318872,33.85647431,33.84531666,33.94353255,34.56536645,34.11264226,34.61763111,34.19328021,33.33604523,33.58027671,33.85190354,34.97163444,34.61096887,33.8141712,34.04146504,34.82044374,35.88750944,35.46544393,35.29094948,
Ecuador,ECU,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Egypt, Arab Rep.",EGY,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,,,11.18568233,11.75742574,10.81490457,12.25516146,15.95232638,,9.071329026,9.510750329,12.72167258,12.48431094,12.07248018,11.18049165,11.69379144,11.23901537,11.76391623,13.23860978,10.10951041,13.49194954,13.13866067,12.53393867,13.34301609,16.10049331,16.81551416,,,,,22.13885044,21.50083002,21.6467817,23.88045554,19.90929368,19.39985782,20.20663117,21.90164016,24.23062065,27.61190496,27.27960672,26.46660242,20.5529235,26.10781624,,,,
Euro area,EMU,Taxes on goods and services (% of revenue),GC.TAX.GSRV.RV.ZS,,,,,,,,,,,,,,33.7836863,32.8505088,30.16720222,29.82731554,30.3030303,30.63477461,30.34482759,30.05633803,29.274904,30.10522561,30.08489776,29.41368788,29.78175205,29.57304013,29.68007612,30.24296244,30.18995899,30.14323729,31.1102915,27.09830543,28.38709677,32.15058749,31.17437087,32.64868005,32.35717269,30.4258383,31.86235982,30.57489935,31.22882351,32.33794157,32.57948642,32.39934651,33.24864125,32.18452043,32.71817593,31.74908561,30.76663251,31.49328758,31.46604741,30.51653565,30.01411101,31.77529159,31.5339371,32.42652852,33.00827281,33.071086,
