Exajoules,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2019,2008-18,2019
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad & Tobago,0.04,0.05,0.05,0.06,0.06,0.07,0.07,0.07,0.07,0.06,0.06,0.06,0.07,0.09,0.09,0.1,0.11,0.14,0.14,0.15,0.15,0.16,0.16,0.19,0.19,0.2,0.2,0.19,0.22,0.25,0.27,0.3,0.33,0.33,0.33,0.35,0.39,0.42,0.49,0.54,0.59,0.69,0.71,0.69,0.69,0.75,0.74,0.73,0.73,0.74,0.71,0.61,0.66,0.63,0.63,1.00%,-1.00%,0.40%
Venezuela,0.27,0.28,0.31,0.32,0.33,0.31,0.3,0.3,0.37,0.39,0.38,0.47,0.51,0.51,0.57,0.59,0.59,0.63,0.62,0.69,0.69,0.76,0.74,0.76,0.78,0.88,0.88,0.86,0.93,0.99,1.1,1.19,1.23,1.29,1.1,1.12,1.18,1.14,1.01,1.14,1.1,1.26,1.34,1.26,1.23,1.13,1.2,1.25,1.16,1.22,1.33,1.34,1.39,1.14,0.95,-16.30%,-1.00%,0.70%
Central America,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.01,0.02,163.70%,n/a,?
Other Caribbean,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,^,0.01,0.02,0.04,0.05,0.05,0.06,0.06,0.06,0.08,0.09,0.09,0.09,0.09,0.1,0.12,0.13,0.13,0.13,0.14,0.13,0.15,0.18,21.90%,5.10%,0.10%
Other South America,^,^,^,^,^,^,^,^,^,0.01,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.06,0.07,0.08,0.09,0.09,0.11,0.11,0.12,0.13,0.12,0.13,0.13,0.13,0.13,-0.40%,5.30%,0.10%
Total S. & Cent. America,0.53,0.57,0.61,0.64,0.66,0.68,0.69,0.73,0.83,0.87,0.87,1.02,1.1,1.13,1.22,1.3,1.34,1.49,1.54,1.66,1.7,1.83,1.84,2,2.07,2.14,2.18,2.24,2.41,2.53,2.79,3.09,3.15,3.38,3.33,3.54,3.71,3.75,3.95,4.41,4.58,4.95,5.08,5.09,4.89,5.3,5.48,5.82,6.02,6.21,6.4,6.27,6.35,6.12,5.95,-2.70%,1.90%,4.20%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Austria,0.06,0.07,0.06,0.07,0.08,0.1,0.12,0.13,0.14,0.15,0.15,0.17,0.17,0.18,0.18,0.17,0.16,0.16,0.16,0.18,0.19,0.19,0.2,0.19,0.2,0.22,0.24,0.23,0.24,0.25,0.27,0.29,0.28,0.29,0.29,0.28,0.3,0.29,0.32,0.33,0.34,0.32,0.3,0.33,0.32,0.35,0.33,0.31,0.3,0.27,0.29,0.3,0.33,0.31,0.32,2.50%,-0.40%,0.20%
Belgium,^,^,0.02,0.04,0.09,0.14,0.2,0.25,0.3,0.35,0.35,0.37,0.36,0.36,0.39,0.37,0.34,0.29,0.3,0.31,0.31,0.28,0.31,0.3,0.34,0.34,0.37,0.38,0.4,0.41,0.45,0.5,0.48,0.52,0.56,0.56,0.55,0.57,0.61,0.62,0.61,0.63,0.63,0.63,0.63,0.7,0.59,0.6,0.6,0.52,0.57,0.58,0.59,0.61,0.63,3.00%,-0.30%,0.40%
Bulgaria,^,^,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.04,0.07,0.09,0.1,0.1,0.13,0.14,0.16,0.17,0.18,0.19,0.19,0.21,0.21,0.21,0.23,0.19,0.17,0.16,0.16,0.19,0.19,0.16,0.13,0.11,0.12,0.1,0.09,0.1,0.09,0.12,0.12,0.12,0.12,0.09,0.1,0.11,0.1,0.1,0.1,0.11,0.11,0.12,0.11,0.1,-6.40%,-1.10%,0.10%
