Model,Historical MSE,Historical R-Square
ElasticNet,0.06610096267085466,0.9338990373291454
Lasso,0.061019390722342276,0.9389806092776576
Multiple Regression,0.2895562347509628,0.7104437652490372
Ridge,0.23935971922200303,0.7606402807779971
