Year,Argentina,Australia,Burundi,Benin,Burkina Faso,Bangladesh,Brazil,Botswana,Central African Republic,Chile,Cote d'Ivoire,"Congo, Rep.",Colombia,Costa Rica,Dominican Republic,Algeria,Early-demographic dividend,Ecuador,France,Greece,Guatemala,Guyana,"Hong Kong SAR, China",Honduras,Indonesia,India,Jamaica,"Korea, Rep.",Latin America & Caribbean (excluding high income),Latin America & Caribbean,Sri Lanka,Lower middle income,Morocco,Madagascar,Mexico,Malawi,Malaysia,Niger,Nicaragua,Pakistan,Peru,Philippines,Rwanda,South Asia,Singapore,Sweden,Togo,Thailand,Latin America & the Caribbean (IDA & IBRD countries),South Asia (IDA & IBRD),Turkey,Uganda,Uruguay,South Africa
1976,30.72943959,26.46274359,9.088417504,16.65218578,22.84450386,9.911362042,23.11621066,33.77125193,11.96626004,13.57252812,22.98922739,31.0038858,17.56270314,23.66219118,22.3138555,43.35027578,25.92909613,21.05575904,26.45921676,38.21036719,21.40517163,37.45268902,25.38159478,19.21365056,20.72129155,19.1531791,18.2131738,27.63597922,24.70797107,24.30628457,16.21031023,21.89540273,29.19775238,8.134726114,22.2885558,26.25816993,21.84440093,14.20970922,17.32108814,17.46647848,24.23564005,32.85800756,13.81930251,18.28239085,39.59635816,30.7517924,24.8648652,23.98528098,24.31159314,18.28239085,20.32312925,6.251787684,20.95897876,30.381099
1977,30.9416888,27.00106168,11.19641139,17.75093422,19.56245445,11.5232178,22.0691466,33.46482577,11.55393597,15.30133021,27.33238036,26.59574128,18.75203379,24.26976921,21.78888622,46.91473742,26.48753497,24.48968389,25.58416203,33.74401775,20.03831694,29.07441985,26.52147809,23.06079734,20.12761234,19.61373131,12.2262469,30.10570665,25.1021221,24.57141652,14.44502431,22.7546208,32.50939491,8.078257039,22.8457112,24.68406593,23.84662956,19.68237006,25.62536029,18.31142987,21.23940845,30.62749655,15.06351976,18.78437219,35.24142064,27.0123262,34.34554927,26.88475787,24.70088456,18.78437219,20.66647733,6.049679487,21.48539449,29.74624459
1978,27.80015957,25.85137106,14.03688618,16.06401038,18.3189338,11.54679855,22.97322186,36.36363636,10.88687069,18.91539964,29.76217101,27.3323232,18.28426355,23.46136179,23.87174721,52.21935258,26.67680068,26.60325304,24.31335427,32.7823325,21.61894964,20.50958429,28.72980346,24.34740456,20.53415985,23.24717703,15.0452182,34.48448588,25.5493332,25.17560165,20.04922067,25.28845109,25.43423868,9.586574396,23.60549422,38.44136381,26.66948213,22.9935619,12.33952848,16.99048397,21.41548737,30.77985519,16.60703036,21.74903252,37.86032916,23.55395812,52.68816077,28.16386659,25.3071006,21.74903252,15.14634301,8.281536306,22.71022887,26.66879906
1979,25.85676946,27.889229,14.91621548,19.0221797,16.40009385,11.20387213,22.7644531,37.21939539,9.794197902,18.7418211,27.96544933,25.96074349,18.15098539,25.31401397,25.35507747,42.54592649,24.46938743,22.78524468,24.85748726,32.0926725,18.74510999,30.99313777,32.63525925,24.54985584,20.93432088,22.43090117,19.21863682,37.47388303,24.73442185,24.43076091,25.82129154,24.24141418,24.49269055,16.09393071,25.94664928,30.23713129,28.91392383,25.83281469,-5.739737945,17.11258754,23.96636851,30.83045835,12.03077868,21.26577437,42.11681456,26.33015771,48.81381825,27.20522521,24.54057736,21.26577437,14.50271768,6.580100747,24.04150048,27.37798471
1980,25.25778629,27.12482239,13.88576799,15.15656795,15.10695056,14.4393913,23.34647495,40.05214966,7.007125589,22.10260864,26.53611796,35.76581576,19.06853774,26.5747299,24.62987887,39.07692344,25.30346577,25.3748809,25.74805764,30.61386736,15.86556158,32.75862069,34.85332721,22.70191474,20.87150159,21.07764677,15.90580545,34.03062547,24.49922489,24.31182684,33.76824447,23.42137554,30.35348265,46.58965819,25.72981767,24.74380659,30.42132513,28.11320797,16.77885309,17.66853561,30.34008913,29.0864783,16.14038306,20.65016455,45.02814114,27.68831001,28.44646755,29.14192413,24.39478597,20.65016455,18.16426414,6.154538369,17.34631903,31.35637804
1981,22.69108872,28.71790827,17.0061756,15.67675224,14.13092965,17.15576644,23.08412049,43.40567613,8.739405813,23.43476367,25.94047338,48.16318996,20.62399478,29.02664822,22.70376787,36.9905948,24.61318909,25.82635515,23.51853486,25.02019229,17.03165901,31.37132319,34.93933563,19.31158551,21.38449294,20.83003515,20.29810247,32.15998454,24.26477574,24.14337913,27.77483677,28.58295389,31.71888457,35.68788595,25.94430226,17.62476311,34.98689532,20.29157548,23.59401806,18.76626551,34.77178755,27.46274805,13.29908654,20.56646567,44.78321033,24.03362817,23.82408929,29.67530952,24.25704976,20.56646567,17.86988989,5.608315262,21.39046357,34.11518408
1982,21.75494795,29.87575022,14.45739664,27.60441693,17.92663493,17.36327909,21.09376443,37.65848524,6.669374574,11.71796049,23.18829037,59.73239437,20.4871425,24.68609352,19.23821274,37.28323756,23.2659207,21.7648178,23.79788699,29.78698159,14.14477392,24.96542185,30.98339328,12.92812853,22.58345268,20.98186221,20.86891238,31.96698704,22.35157776,21.8158703,30.76140188,28.3639578,33.42852203,26.3480536,21.55988646,21.40333976,37.31369511,20.58823621,18.77746918,19.26431165,35.09903169,27.8752873,17.77822041,20.82434773,46.27029063,23.59172491,21.33332902,26.51654201,21.93857538,20.82434773,16.95259336,9.092996556,19.79651878,26.52871889
1983,20.88775231,25.33609647,22.82679966,17.32151508,17.13226585,16.56273677,16.68204411,29.38912004,11.83265505,12.15699214,18.41277178,38.43843856,19.8932137,24.18175913,19.76254007,37.5695321,23.46092417,20.66603512,21.75040583,28.64299717,11.07182272,21.38964578,26.66961216,12.69070323,29.40177156,20.04817121,22.25876677,32.47674431,18.31199915,17.96562378,28.89120978,26.7392934,26.3485595,25.99914214,19.78151126,22.79749637,37.57026858,12.54548037,22.48170603,18.78826632,26.5259065,29.59490838,13.53058234,19.94805727,46.45068054,23.4216698,20.59629873,29.97527632,17.9674219,19.94805727,16.28529103,7.409611665,14.25354201,27.17322107
1984,19.96409245,26.66910366,18.37083548,12.78031782,14.16662848,16.48425757,15.74056011,29.44353062,12.30714187,19.3081832,11.6507777,30.39123631,18.96497004,22.69946366,17.87777246,35.16442287,22.36939744,18.78183489,21.22922648,29.80527408,11.57233356,27.42032307,24.41792116,15.96335499,24.88467494,21.0303611,23.12229467,32.297977,17.67636825,17.64758336,25.82701339,25.09922704,31.1128523,26.82163614,18.93074176,12.87923233,33.56002514,3.148002948,22.22851493,18.27075621,23.44461433,20.34754357,15.8065743,20.6023378,46.92765945,24.42052943,15.04142832,29.47311368,17.59858813,20.6023378,16.18031468,8.139835364,12.1267005,25.54336395
1985,17.58906692,28.06504605,13.86112932,8.939973748,22.95327815,15.8309437,19.20075347,22.99441288,15.38406105,17.04520532,12.95138474,30.28430264,19.0409037,25.88917329,17.37191114,34.56916946,20.98638028,18.95160655,21.16857972,31.34407874,11.49741958,35.79487179,21.50017258,15.87987036,25.34694597,22.65401294,24.30381182,32.27005198,19.25271053,19.01269096,23.82263279,23.74950166,30.67794612,18.76390559,20.00977669,18.58707389,27.5809991,12.74721907,23.13860585,18.32547225,20.92489521,14.34681569,17.30935063,21.86417194,41.09923941,26.78809067,16.63357536,28.24458054,18.97478117,21.86417194,16.51322819,8.732018454,11.37877294,22.04957623
1986,17.46176421,28.54711036,11.64423,13.46444464,20.13659159,16.17645483,19.09310889,21.48534526,12.77946311,18.86842175,12.06341005,29.45062753,18.00116265,25.20973983,19.57190292,33.55592415,20.80602809,23.56884713,21.75691999,30.33360799,10.33274397,40.1382507,23.43249357,12.6961513,27.64651732,22.07951482,16.94417282,32.61401086,18.84049294,18.68547422,23.65969444,23.55137909,27.48215829,20.50558138,17.83419879,12.46992601,25.98541777,11.60145542,16.89278248,18.76365318,22.41772758,15.23714581,15.87481472,21.43966549,36.55811428,24.99133259,18.82961335,25.87231091,18.71019701,21.43966549,18.84755664,8.446924527,11.18166228,21.02094122
1987,19.554866,27.41645316,22.61237161,12.92694051,19.22265641,15.47344203,22.30466061,15.50083346,12.63111525,22.3546766,12.31724466,19.72836302,19.99748878,27.12149083,22.84297546,27.55637978,21.67728966,25.40759223,22.26294214,23.08087281,13.91056437,31.1079099,26.06783697,15.95997628,27.24671899,24.04959059,20.64906533,32.58555208,21.00320666,20.91255132,23.33229973,23.66739663,25.11699806,25.00070536,18.31057874,17.27067468,23.08195104,11.65251141,15.79869303,19.13432632,22.50343953,17.49887223,15.66461158,23.02083076,36.51939099,26.20236993,17.63985035,27.87471199,20.99425301,23.02083076,25.66650473,9.718215889,14.29512041,17.78428404
1988,18.6400389,28.02772546,15.0351399,15.63323062,18.78891127,15.73598307,22.71852835,23.58451549,10.50941213,23.1475919,12.65035275,18.61911988,21.98974065,24.46626492,23.21926677,27.63948339,22.96547172,26.11010737,23.34268251,26.59217649,13.69919728,21.14548142,28.35202842,19.24261674,29.09802202,25.11721665,23.62214134,34.81571591,22.62810731,22.40568517,22.7775225,24.34617505,24.44381647,17.6010365,22.75126853,21.41806247,26.36137274,19.0518244,26.75106121,18.01421107,26.43178042,18.66821325,14.49243684,23.78891763,33.4082568,27.45899357,16.02726224,32.59088992,22.48518201,23.78891763,25.14260067,10.79234972,14.66974755,21.22829638
1989,15.51469828,29.67015027,16.46288679,11.81714414,20.41001717,16.12091443,26.90278706,36.10818292,11.75584426,25.80074685,8.90395595,14.1282962,19.97575416,26.58599561,25.76373334,30.07323412,22.87165944,27.08991607,24.26836863,26.8586544,13.5151112,22.23620555,26.52350724,17.54532493,30.6830326,26.07184448,26.61116545,36.71606701,22.98261604,22.84627492,21.72447606,25.74139291,30.27081388,40.7488309,23.10624119,24.55676643,29.870858,13.67754897,27.46168175,18.91145769,23.17376721,21.6004426,13.42601509,24.63365471,34.06069305,30.25160113,16.51984219,35.06611671,22.86884346,24.63365471,23.47258691,11.13622802,12.06646355,22.74589375
1990,13.99698158,29.00273613,14.53697686,14.06035642,18.91339663,16.45867552,20.16660691,37.36697697,12.70805981,25.94896473,6.688803339,15.90551181,20.60673055,27.3228218,23.34965915,28.58941955,23.56588926,24.07200302,24.40966033,27.55676755,13.60261471,31.13309854,27.17052478,21.06460006,32.70769009,28.62491682,25.8843923,39.55305296,19.52711072,19.70934775,22.20588967,26.8836697,31.06029454,35.96231421,23.27060354,23.04046567,32.36032616,11.13962363,19.27580248,18.93537303,16.16440551,24.15113851,14.64998322,26.70715481,35.65311389,29.67108946,26.57097399,41.35376259,19.66508128,26.70715481,24.54926752,12.70408004,12.20085101,19.41325413
1991,14.6369774,24.26956316,14.40976319,14.47804469,21.2456099,16.89594746,19.76910062,33.2101747,12.6480118,23.57983019,7.358001161,20.52816443,19.10546385,18.65379445,14.42376413,31.84132806,23.5615013,22.04545325,23.60216359,28.40504353,14.29528044,39.76315044,26.92142457,22.5987902,31.86942548,23.97167165,24.36427588,41.23401783,19.71604166,19.81490601,22.87018759,24.65515077,27.32216106,30.67470925,23.42627673,20.23570517,37.79047394,11.94730428,20.77637902,18.95414462,17.39809243,20.21833141,14.02174997,23.00488425,33.97994469,25.13030831,17.11375383,42.84137755,19.94059081,23.00488425,22.71203962,15.17126512,15.12534471,19.02496749
1992,16.70240577,22.39016192,10.63829807,13.62110874,19.30243347,17.30502928,18.93460235,30.41930063,12.40250132,25.18242361,6.923884602,21.59969088,20.55450146,20.6624446,18.79126779,30.75748786,24.27821106,22.6700564,21.96001178,25.40976935,18.32531872,51.75132623,28.17687361,23.79877188,30.17582734,25.33209814,29.82855891,38.73834045,20.03871469,20.20429227,24.27536487,25.45324418,27.71036859,36.09386686,23.32059903,19.93461213,35.3625516,8.38580647,20.92481035,20.1471869,17.78473112,21.33839514,15.63409604,24.29480391,35.51569591,23.10758389,15.71139364,39.96394765,20.45345043,24.29480391,23.36227144,15.93892774,15.3848956,16.76860652
