Type,Historical MSE,Future MSE,Historical R-Square,Future R-Square
Multiple Regression,80748575.52,1619833231,0.710453494,0.163506247
Lasso,17017313.19,1560093992,0.938979684,0.194356028
Ridge,66750335.65,1609685805,0.760648081,0.168746452
ElasticNet,18434304.57,1557721561,0.933898667,0.195581169
