Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Grand Total
Oman,9.03,9.42,9.83,10.25,10.71,11.20,23.91,27.21,23.80,22.09,20.51,23.82,23.48,22.30,23.16,17.85,17.73,26.31,20.87,33.41,29.64,21.74,24.19,22.23,28.60,41.93,66.97,59.22,56.96,50.59,55.26,53.28,47.60,48.10,60.44,64.08,71.74,83.56,80.34,78.16,87.50,91.84,90.10,122.55,119.00,135.45,146.12,157.33,178.25,184.68,184.04,186.93,242.96,283.96,295.24,3937.48
Other Asia Pacific,59.76,63.09,67.38,71.15,74.92,78.49,80.63,90.53,89.70,98.75,97.45,102.14,105.90,121.99,134.38,149.96,154.57,150.47,153.46,145.31,164.89,171.42,165.48,165.78,165.47,177.92,164.17,153.77,160.94,160.49,170.79,181.46,185.34,195.24,186.96,198.70,205.95,215.25,228.48,227.77,223.07,232.49,249.39,244.64,265.47,308.43,320.10,332.72,356.96,387.79,424.77,436.54,454.15,474.36,506.37,10953.54
Other Caribbean,345.74,357.96,373.37,380.62,392.50,445.56,455.82,486.38,526.54,523.59,511.61,518.18,545.25,559.80,576.86,657.10,665.97,575.79,547.92,582.67,545.11,532.90,552.63,556.69,589.79,581.18,568.84,538.02,542.91,573.73,576.70,600.14,639.93,661.69,638.11,720.90,726.78,734.20,723.94,723.05,731.28,738.02,712.17,688.24,645.73,634.14,631.16,617.29,594.75,581.83,603.36,620.19,611.84,629.06,614.73,32010.27
Other CIS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,291.47,277.47,273.34,272.82,260.81,273.65,203.58,161.79,100.06,47.06,45.22,40.45,40.24,39.03,31.07,30.25,32.03,32.93,36.20,39.98,43.25,47.29,56.44,60.43,63.67,62.70,65.08,74.57,78.15,75.65,78.38,85.93,82.41,90.72,92.51,3586.62
Other Europe ,81.31,95.58,116.56,134.79,145.18,172.81,217.63,226.60,247.76,278.87,273.82,291.00,317.06,347.56,372.01,341.90,315.43,323.46,347.04,324.08,450.05,471.67,474.11,507.08,486.91,327.56,252.79,191.52,171.44,159.32,152.83,183.54,203.14,193.13,170.86,186.27,216.91,233.11,255.54,277.15,289.72,298.09,313.70,314.12,314.93,318.51,319.73,299.69,297.56,296.57,306.56,327.38,343.14,341.88,346.48,15263.45
Other Middle East,115.03,119.63,124.38,129.06,134.59,130.70,136.32,132.99,143.64,154.11,170.52,190.20,210.15,222.03,258.07,253.54,273.16,306.36,330.46,356.03,365.80,359.66,386.23,385.50,383.72,403.71,434.92,441.22,454.44,468.92,504.70,505.46,535.84,554.19,557.26,564.96,580.76,596.86,615.74,653.38,734.66,745.73,779.23,798.11,776.36,724.11,712.43,675.53,623.61,619.41,536.98,515.98,524.08,515.37,528.92,23454.76
Other Northern Africa,28.09,31.17,33.35,38.00,42.49,46.08,43.18,50.19,64.25,70.17,71.90,93.66,106.45,116.67,127.47,142.71,158.64,171.65,180.27,173.47,183.16,176.87,205.32,211.05,215.17,216.43,219.17,210.16,235.65,253.25,266.07,266.60,279.49,292.87,305.56,321.37,321.10,318.08,339.79,339.64,364.24,376.88,348.95,362.94,386.91,390.76,262.47,330.46,347.22,357.41,317.88,292.41,302.58,318.48,332.24,12058.47
Other South America,45.85,47.32,50.61,52.15,56.11,58.37,62.98,73.32,74.05,65.95,75.48,76.92,81.49,92.30,97.19,94.51,91.08,85.55,74.54,74.44,81.32,80.92,83.07,90.47,91.26,87.09,90.40,94.30,98.59,109.06,123.38,127.63,130.33,133.46,143.95,123.28,120.70,119.59,127.16,135.71,134.31,134.44,144.30,158.73,169.86,181.17,175.64,182.07,184.60,181.99,193.86,200.98,212.53,214.93,219.72,6311.00
Other Southern Africa,0.52,0.52,0.58,0.58,0.58,0.60,0.63,0.63,0.79,0.88,0.76,0.84,1.03,1.22,1.25,1.22,4.42,4.40,4.41,4.48,5.34,5.96,6.31,6.82,8.14,14.03,21.10,23.86,24.23,24.77,27.39,27.49,29.60,30.87,32.56,32.88,36.43,35.29,36.73,36.73,38.51,39.34,40.89,44.79,45.59,47.37,48.89,50.33,53.89,55.39,58.00,59.17,61.21,62.20,62.62,1265.04
Pakistan,75.73,77.75,86.80,98.63,92.76,91.83,87.11,71.20,73.21,78.96,82.21,82.28,87.11,92.02,98.66,102.61,109.07,119.80,131.67,142.12,151.97,163.94,179.81,193.19,207.29,216.35,227.10,246.79,269.00,287.86,311.68,326.42,336.78,348.40,361.33,372.04,366.33,357.75,320.16,324.54,309.83,353.84,384.04,389.29,414.96,411.20,414.27,402.29,441.90,457.95,505.30,566.02,588.62,498.20,445.86,14033.84
Peru,74.44,94.68,95.45,95.27,93.61,98.04,98.00,84.20,99.89,118.09,120.07,120.62,120.08,118.24,123.12,132.45,135.85,133.11,118.02,121.27,118.68,126.79,136.98,134.83,119.47,119.33,111.02,116.20,121.13,131.60,148.89,153.99,159.25,154.63,159.24,154.99,147.29,146.48,139.32,152.67,154.13,146.73,155.50,172.89,178.44,186.06,214.67,206.99,219.17,216.48,237.33,249.71,248.00,256.88,261.87,8052.09
Philippines,84.59,92.28,103.99,118.34,127.19,144.43,167.84,164.26,192.74,180.02,194.11,198.61,217.11,223.86,230.60,214.82,202.59,195.23,203.85,167.44,150.26,157.92,182.81,197.13,222.31,232.84,225.67,276.67,287.99,304.02,341.66,357.58,386.57,389.75,372.46,346.44,344.94,329.42,328.54,336.26,313.87,283.22,294.37,281.52,294.27,306.88,291.98,300.77,316.43,335.81,384.46,413.35,444.84,449.58,457.98,14364.49
Poland,108.75,113.89,124.18,154.40,170.27,181.14,191.04,213.61,238.11,250.00,271.61,298.06,320.04,342.82,349.13,346.72,325.07,307.30,318.66,325.98,332.04,344.27,349.21,356.79,356.42,325.35,308.39,284.69,292.00,309.26,316.53,369.92,388.43,439.66,463.12,426.19,419.36,429.60,439.93,469.02,485.53,527.17,545.34,555.47,550.17,577.40,574.26,552.20,519.62,520.87,542.37,593.96,646.43,662.54,670.40,20894.68
Portugal,50.25,51.67,56.92,60.96,64.54,91.52,103.56,112.39,123.79,131.25,137.72,143.56,143.10,148.07,157.88,167.84,177.42,187.03,187.74,187.78,185.00,198.26,194.17,205.55,253.53,237.44,245.62,269.46,257.82,259.66,290.00,277.97,297.77,322.47,333.83,327.99,326.67,337.77,318.83,323.11,332.03,296.21,301.46,289.62,268.83,264.88,249.16,225.09,235.32,235.16,238.27,233.76,243.06,233.19,249.79,11843.73
Qatar,1.01,1.01,1.54,1.97,2.28,1.96,1.89,2.24,2.91,3.99,4.76,6.55,8.61,8.49,9.18,16.87,18.45,27.18,30.14,33.40,43.78,50.31,53.41,38.11,42.13,43.04,38.97,40.34,41.15,43.64,45.53,47.85,50.53,51.83,51.24,49.64,61.88,73.23,85.25,91.90,109.38,137.87,148.21,177.92,173.07,190.58,245.72,257.30,287.32,293.90,332.12,347.06,312.18,324.91,346.43,4912.17
Romania,142.55,148.90,169.97,180.33,200.30,217.61,221.92,235.97,265.20,244.41,278.60,310.03,332.59,365.78,387.13,365.71,327.97,325.06,291.27,278.71,295.07,314.30,346.62,324.38,335.84,363.12,299.99,252.34,235.01,219.47,266.64,252.57,267.69,235.89,190.46,197.03,210.99,219.81,194.17,223.39,217.58,213.96,217.28,213.72,191.64,180.97,186.12,186.37,169.84,183.51,186.38,195.46,205.72,211.66,223.56,13518.55
Russian Federation,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4943.68,5006.31,5050.79,5000.70,5111.45,5042.28,4917.05,4698.92,3928.36,3485.98,3058.02,2623.98,2630.12,2489.81,2567.80,2540.01,2627.69,2543.55,2652.55,2619.44,2647.33,2762.37,2780.19,2860.95,2774.65,2877.82,3073.76,3119.34,3133.73,3297.78,3142.88,3219.16,3194.72,3281.52,3316.79,119021.48
Saudi Arabia,389.57,392.92,396.26,398.55,403.07,434.74,441.32,470.26,500.58,525.61,407.85,471.49,543.90,588.57,708.17,592.31,708.56,784.55,870.36,969.18,993.19,1000.78,1063.11,1093.14,1068.65,1136.25,1190.57,1155.41,1166.46,1403.27,1354.27,1400.50,1427.97,1509.12,1565.57,1626.91,1746.01,1809.60,1909.59,2055.95,2203.22,2274.01,2406.64,2622.09,2913.55,3205.64,3294.62,3459.87,3451.48,3764.05,3882.98,3874.81,3838.36,3768.87,3787.57,87421.92
Singapore,76.50,87.41,104.37,128.88,127.08,138.04,120.72,150.32,142.61,140.12,137.40,162.43,163.64,169.82,181.09,179.41,206.33,201.71,213.36,224.82,230.01,265.39,280.19,322.28,367.00,444.27,451.78,463.65,504.49,578.36,605.80,612.07,648.51,661.44,655.58,696.00,752.93,736.28,686.42,757.88,796.04,847.64,921.43,973.32,1049.25,1156.74,1208.10,1202.19,1217.47,1258.95,1328.24,1371.96,1405.42,1430.86,1404.48,31348.47
Slovakia,44.88,49.36,54.87,60.69,65.22,78.57,86.91,94.65,106.30,108.63,119.58,125.72,132.04,136.72,139.05,129.14,127.82,118.46,116.06,123.97,123.18,120.25,117.37,115.05,115.15,99.60,87.92,80.13,66.69,69.61,68.48,71.29,71.87,80.24,73.24,73.37,66.72,74.55,70.36,66.77,79.85,70.86,74.91,80.29,76.25,79.06,76.37,71.73,72.31,67.38,73.00,75.70,85.53,87.02,83.08,4883.81
Slovenia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.98,33.96,33.02,39.69,42.91,46.55,53.66,54.27,51.83,52.09,49.55,51.77,50.30,51.01,52.35,53.34,55.56,54.87,63.20,54.08,54.42,54.15,52.83,50.02,49.35,48.75,51.92,53.27,54.73,51.37,1499.80
South Africa,117.73,127.85,138.50,150.06,165.28,179.13,195.37,211.97,234.18,228.39,243.47,245.71,243.84,256.03,242.36,248.47,270.28,274.63,278.04,301.82,295.50,285.45,302.65,332.19,344.91,348.75,352.08,362.08,376.23,392.41,417.64,428.05,436.57,443.46,449.51,455.50,466.60,478.31,495.32,512.63,517.64,527.56,539.22,510.92,506.51,538.39,541.62,551.91,560.53,554.62,578.42,545.91,545.63,556.89,569.44,20474.15
South Korea,24.95,37.37,64.73,95.42,129.79,162.12,183.12,190.53,235.13,243.64,277.34,310.18,371.21,425.90,480.45,475.88,473.59,471.29,497.18,501.11,537.35,588.40,621.60,739.14,854.98,1040.61,1256.65,1523.76,1681.53,1847.54,2016.88,2152.98,2388.16,2048.97,2197.04,2260.07,2263.30,2316.76,2337.41,2294.10,2312.06,2320.14,2398.95,2308.41,2338.99,2370.09,2394.08,2458.18,2455.41,2454.29,2577.08,2770.87,2801.33,2781.19,2759.84,76119.09
Spain,268.46,318.84,387.67,411.12,469.01,534.01,593.25,622.71,745.25,775.68,813.89,920.09,879.09,930.01,992.39,1042.80,1016.38,969.25,988.22,939.61,914.21,909.26,944.40,975.60,1024.12,983.61,1012.53,1117.99,1058.96,1112.02,1181.10,1209.80,1259.92,1359.65,1405.83,1421.18,1484.16,1490.89,1534.33,1571.73,1587.66,1598.38,1605.94,1544.40,1448.82,1412.51,1342.99,1251.28,1180.59,1175.93,1218.79,1262.14,1270.00,1296.90,1298.00,59083.37
Sri Lanka,9.35,9.58,9.81,10.01,10.27,20.60,18.92,20.45,21.27,16.86,16.35,16.21,17.27,20.09,20.63,20.74,24.62,27.66,30.15,25.47,23.38,23.44,26.70,26.28,25.18,27.10,28.40,33.18,32.54,36.08,39.10,47.33,51.41,54.82,59.91,70.41,69.44,73.51,73.36,72.88,82.53,85.97,91.31,82.76,87.22,87.03,91.69,95.39,82.03,70.59,89.56,105.18,113.62,114.05,122.62,2662.32
Sweden,373.96,421.58,421.22,473.13,507.91,551.10,520.88,532.94,548.17,488.42,491.45,540.36,525.83,642.77,688.50,608.68,551.77,515.58,452.28,433.31,463.27,497.97,436.05,409.56,393.86,393.24,345.16,363.46,355.67,377.34,360.38,382.65,361.03,401.58,384.62,335.17,342.55,349.16,367.78,351.48,354.62,356.47,353.28,330.77,317.23,315.36,294.97,292.20,291.78,285.81,279.61,291.09,288.59,276.00,283.39,22572.98
Switzerland,164.19,174.73,188.01,207.60,226.43,253.72,269.51,275.57,297.28,265.09,255.99,265.31,267.52,277.58,266.41,265.91,247.48,234.44,256.37,247.92,253.41,276.48,261.19,261.78,252.28,270.20,274.95,278.23,261.59,269.94,250.54,258.90,273.27,276.66,268.93,260.26,278.26,264.24,257.04,255.01,259.90,266.02,240.66,255.43,259.70,241.53,234.29,237.78,248.87,223.62,226.22,213.62,219.31,211.54,216.20,13764.93
Taiwan,43.86,51.78,61.37,72.86,87.34,104.73,145.16,156.20,199.93,179.73,208.84,268.45,298.30,348.83,352.15,364.29,323.84,313.23,322.39,316.35,392.47,433.65,451.71,512.83,568.01,588.74,608.49,625.42,670.08,711.92,766.07,769.55,800.29,824.56,886.33,916.04,964.90,972.15,1014.91,1060.53,1056.72,1056.37,1115.34,1009.59,1021.64,1043.41,950.45,949.61,981.14,1012.64,1021.24,1046.14,1038.45,1049.58,998.01,34108.59
Thailand,47.56,55.99,61.97,81.13,87.97,102.81,114.39,142.75,151.43,153.65,167.90,175.97,197.95,221.28,225.11,232.51,223.65,205.85,231.31,241.31,231.56,240.93,263.97,297.77,349.94,423.96,452.19,507.67,590.03,655.47,712.70,792.13,805.26,741.66,794.71,762.86,765.90,845.89,939.87,1000.76,1013.29,1006.65,1025.99,1003.33,1058.39,1104.16,1166.11,1224.96,1266.64,1270.26,1329.66,1364.38,1407.14,1432.28,1453.29,33424.24
Total Africa,549.61,600.63,598.42,629.94,644.01,709.75,801.33,867.91,935.36,967.42,1013.96,1123.80,1193.79,1260.44,1344.76,1418.56,1513.44,1589.69,1642.78,1675.31,1720.71,1697.29,1786.25,1865.32,1941.60,1979.58,1992.34,2033.73,2066.26,2118.33,2192.65,2237.85,2306.81,2367.51,2450.48,2463.88,2510.26,2561.26,2635.60,2753.91,2899.45,2925.09,3029.61,3195.72,3321.53,3488.60,3405.24,3575.25,3711.62,3772.64,3859.11,3893.84,3937.85,3986.01,4096.42,117860.51
Total Asia Pacific,3204.80,3693.26,4300.46,4902.40,5715.20,6645.53,7393.05,7939.82,9057.95,8996.05,8964.36,9515.92,10036.06,10856.79,11152.45,10552.57,10303.50,10019.86,10182.58,10534.92,10602.40,11032.54,11381.82,12322.44,13129.59,13860.74,14463.25,15410.08,16157.51,17108.92,18194.57,19061.82,20073.14,19675.95,20604.25,21183.48,21403.55,22156.32,23072.81,24288.40,24575.55,25182.31,26049.61,25879.23,26227.91,27917.33,28802.39,29934.64,30559.54,31105.11,32343.86,33518.54,34668.93,35456.51,36178.14,957550.72
Total CIS,3313.95,3548.82,3866.13,4107.31,4376.25,4826.36,5126.54,5547.12,5981.45,6587.91,6911.79,7055.12,7375.72,7822.33,7967.87,8338.16,8442.13,8388.43,8273.49,8259.46,6635.64,6724.86,6725.10,6712.02,6771.67,6702.03,6513.94,6101.89,5021.49,4366.37,3864.61,3379.15,3366.79,3203.26,3238.07,3233.61,3268.73,3195.03,3361.84,3354.34,3351.64,3496.81,3523.11,3599.82,3487.27,3565.92,3837.61,3934.27,3913.79,4097.34,3951.62,4035.62,4020.62,4157.47,4227.10,279056.79
Total Europe ,8219.07,9037.46,9825.69,10775.43,12030.57,13323.15,13999.89,14952.10,16075.73,15134.00,14654.30,15608.60,15548.17,16522.69,16910.37,15768.58,14771.73,14112.11,13850.86,13914.89,15593.77,16098.50,16214.42,16290.31,16247.78,16560.11,16342.32,16059.30,15620.71,15575.77,15857.65,16100.25,16226.22,16591.10,16445.82,16208.66,16497.24,16440.96,16531.51,16654.20,16788.23,16821.73,16508.77,16296.69,15561.38,15409.36,14976.11,14458.19,14295.60,14031.97,14360.49,14668.55,14991.29,14936.38,14895.96,828192.69
Total Middle East,870.01,894.34,922.96,951.05,984.85,1043.99,1098.29,1180.18,1275.91,1360.68,1316.56,1501.60,1706.17,1775.79,2018.36,1932.99,2116.04,2326.60,2596.57,2832.57,3011.70,3001.09,3177.45,3309.81,3420.16,3488.55,3645.58,3851.36,4144.74,4584.60,4600.64,4718.61,4951.42,4861.95,4852.98,5087.41,5320.22,5455.57,5673.71,5997.96,6452.01,6722.00,6972.78,7391.30,7730.38,7987.05,8292.66,8641.98,8867.91,8993.06,8987.21,9190.65,9156.43,9173.73,9415.72,241835.87
Total North America,12946.18,13600.86,14169.74,15112.85,15943.20,16622.23,17202.17,18493.08,19564.49,18972.76,18706.23,20003.50,21035.22,21493.93,21331.26,20032.08,19043.57,18158.15,17980.35,18558.46,18639.14,19234.20,19740.20,20428.02,20633.49,20297.58,20004.65,20365.89,20573.50,21185.10,21205.42,21878.92,22291.45,22709.92,23360.51,23588.43,23553.22,23644.98,23976.73,24782.50,24839.14,24599.56,24642.54,23221.17,22234.88,22696.77,22444.91,22006.24,22385.35,22482.71,22809.72,22961.15,23159.57,23692.18,23535.85,1138775.88
Total S. & Cent. America,1666.94,1761.85,1820.00,1941.28,2032.63,2141.71,2264.87,2449.70,2686.09,2771.60,2775.06,2897.48,3025.89,3164.32,3299.84,3364.94,3342.52,3250.66,3138.62,3132.33,3115.45,3312.16,3410.80,3479.46,3487.59,3475.42,3514.87,3738.33,3812.44,4037.33,4179.34,4264.94,4525.23,4709.64,4721.45,4719.51,4812.50,4784.17,4655.43,4823.16,4985.16,5168.49,5373.21,5586.22,5519.36,5790.58,6061.33,6233.69,6417.73,6420.08,6298.11,6135.63,6077.91,5946.09,5923.25,222444.43
Total World,30770.56,33137.22,35503.39,38420.26,41726.70,45312.72,47886.14,51429.91,55576.98,54790.43,54342.26,57706.03,59921.01,62896.30,64024.91,61407.87,59532.94,57845.49,57665.26,58907.94,59318.80,61100.65,62436.04,64407.39,65631.89,66364.01,66476.95,67560.57,67396.64,68976.42,70094.88,71641.55,73741.07,74119.33,75673.56,76484.97,77365.73,78238.29,79907.62,82654.46,83891.18,84916.00,86099.63,85170.14,84082.71,86855.61,87820.24,88784.26,90151.54,90902.91,92610.13,94403.98,96012.59,97348.38,98272.46,3785716.89
Trinidad & Tobago,35.17,35.42,36.95,37.56,39.49,40.51,41.86,67.29,68.27,67.35,52.19,58.26,57.17,52.17,40.48,32.45,32.35,35.63,31.45,27.54,28.98,30.98,21.46,19.84,17.69,25.36,24.08,33.18,29.06,22.63,25.68,29.29,18.49,20.99,35.24,35.08,32.88,36.59,35.09,38.21,34.51,37.70,42.52,45.14,43.52,45.03,42.23,39.98,45.20,40.86,44.90,47.35,43.91,41.62,38.76,2083.60
Turkey,69.37,82.81,97.02,116.57,129.44,136.22,160.35,181.11,222.63,216.18,240.46,270.38,308.37,338.40,302.59,306.43,303.65,324.46,342.96,340.39,358.87,391.37,443.53,475.38,447.41,476.20,465.08,489.81,562.83,540.04,606.32,631.55,627.66,630.38,629.15,666.51,617.77,655.24,644.55,662.04,657.71,680.85,695.06,685.12,708.94,693.50,672.34,701.87,748.03,770.99,914.72,973.22,1021.90,987.20,1004.79,27427.69
Turkmenistan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.56,69.64,69.64,69.48,69.69,93.35,103.83,97.92,58.84,59.95,54.80,64.10,63.52,82.08,89.41,87.13,84.45,96.38,109.65,109.37,108.97,105.34,111.15,113.60,106.23,117.92,124.63,129.39,137.37,143.28,144.60,142.89,143.67,148.82,161.83,3568.48
Ukraine,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1271.60,1277.66,1330.16,1219.81,1170.68,1271.60,1160.61,855.08,494.46,401.81,392.38,291.15,287.30,296.51,267.91,252.95,283.85,282.28,295.31,310.07,295.66,308.33,308.09,298.93,282.37,267.21,278.08,267.41,255.51,219.19,193.11,203.70,208.46,206.82,221.84,17227.89
United Arab Emirates,1.53,1.63,1.75,1.95,2.17,2.53,2.99,3.90,6.06,8.39,13.49,19.49,28.32,30.99,42.19,99.33,109.56,121.81,123.25,140.16,172.01,207.23,227.21,270.93,285.40,300.50,365.41,366.74,381.64,398.98,399.71,385.25,392.86,391.11,383.18,380.58,381.02,413.07,453.94,485.44,501.92,539.45,576.15,602.80,605.55,653.99,734.67,773.28,852.15,879.69,957.03,1028.31,1012.23,1057.26,1042.34,19620.50
United Kingdom,1466.08,1573.60,1696.27,1794.16,1930.18,2030.73,2036.78,2155.15,2228.14,2069.29,1815.08,1806.01,1829.23,1903.16,1921.84,1649.15,1538.94,1560.19,1516.84,1824.80,1615.95,1641.01,1604.88,1699.73,1738.64,1750.73,1751.02,1771.08,1788.60,1782.57,1765.80,1805.67,1762.97,1757.39,1743.00,1712.89,1714.26,1710.26,1725.20,1759.97,1830.52,1810.42,1746.12,1703.87,1626.75,1604.25,1573.26,1521.84,1504.83,1505.81,1552.44,1596.84,1610.23,1584.04,1544.74,95263.19
US,11522.19,12100.35,12566.88,13404.55,14152.99,14709.91,15222.76,16380.81,17317.93,16630.65,16333.56,17460.74,18443.37,18755.94,18438.21,17062.35,16059.70,15294.96,15234.54,15725.36,15726.13,16280.89,16664.67,17283.25,17325.23,16939.48,16658.95,16968.63,17161.28,17634.63,17634.75,18244.84,18538.68,18826.62,19424.85,19593.80,19534.32,19624.70,19847.81,20498.66,20531.54,20312.81,20208.27,18840.73,18030.47,18324.38,17983.22,17593.72,18005.84,18136.22,18523.68,18617.64,18883.34,19427.64,19399.96,956049.41
USSR,3313.95,3548.82,3866.13,4107.31,4376.25,4826.36,5126.54,5547.12,5981.45,6587.91,6911.79,7055.12,7375.72,7822.33,7967.87,8338.16,8442.13,8388.43,8273.49,8259.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,126116.33
Uzbekistan,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,232.47,238.53,226.36,278.57,267.10,202.75,216.52,174.97,181.86,157.95,132.14,129.85,139.18,137.89,141.79,140.83,135.72,133.38,144.97,145.85,103.16,103.01,94.33,92.63,88.74,75.63,70.96,63.49,60.10,56.63,52.69,48.62,46.76,45.16,43.66,4604.24
Venezuela,183.88,181.47,185.73,201.43,200.37,209.87,212.34,230.82,257.26,259.42,275.92,280.30,314.79,330.87,354.43,423.40,448.34,444.54,435.24,408.38,418.09,435.20,418.92,433.39,422.65,427.93,412.73,488.10,450.24,498.64,484.03,403.33,432.11,474.20,506.74,510.46,572.23,602.74,506.52,544.71,605.78,667.58,640.29,716.09,726.23,725.42,737.20,792.13,782.46,720.01,637.02,537.33,462.86,402.43,355.77,24790.37
Vietnam,31.35,68.51,100.34,102.08,123.71,128.26,108.50,111.72,109.93,67.51,64.57,16.80,16.34,19.73,22.86,40.10,34.89,35.53,40.50,39.44,40.27,44.58,52.06,54.58,50.65,59.96,58.21,63.48,80.41,89.57,98.85,114.23,130.95,143.48,158.12,170.61,185.72,205.01,219.97,262.76,257.56,253.88,283.20,299.76,305.26,332.29,361.38,371.44,397.81,409.08,452.12,470.15,487.39,506.39,528.46,9282.31
Western Africa,74.37,80.17,81.51,81.27,89.83,98.76,129.46,138.26,152.97,158.58,173.11,212.74,231.32,249.95,283.10,299.79,305.57,324.26,303.99,276.21,290.16,268.56,287.26,298.09,306.93,298.40,318.97,347.67,345.33,346.69,349.62,367.86,367.22,372.87,394.77,389.44,404.77,425.36,421.82,441.14,461.27,429.92,443.31,504.42,510.95,543.10,547.41,571.73,586.91,551.92,564.36,627.35,689.08,726.97,755.72,19302.57
