Country,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Grand Total
Eastern Africa,110.60,116.55,122.65,127.38,135.39,141.49,168.20,174.61,183.67,183.26,177.17,176.61,180.55,177.97,181.15,187.42,182.65,176.10,175.05,177.52,182.31,193.57,196.47,213.46,222.03,226.46,220.08,220.47,227.04,238.99,248.42,255.82,260.45,264.77,279.08,280.25,296.84,301.31,303.11,329.42,345.05,366.00,376.60,385.25,404.12,420.17,443.13,449.57,484.20,501.19,547.56,569.74,605.86,626.40,644.76,15385.93
Ecuador,13.39,13.97,15.11,18.01,18.95,21.51,23.88,24.66,27.44,31.35,30.73,34.70,43.56,44.84,47.78,61.93,69.01,75.16,68.86,69.14,85.16,86.52,87.64,103.02,108.28,111.39,124.30,123.50,124.78,135.33,134.20,149.43,170.02,171.59,150.91,138.78,144.07,143.30,147.51,154.56,169.15,179.65,182.75,188.07,190.67,220.33,226.01,232.84,247.26,260.11,253.74,239.12,236.67,254.63,248.56,6677.83
Egypt,130.74,139.93,115.72,120.50,91.51,117.09,122.03,139.71,131.57,145.61,159.37,187.30,201.08,208.77,229.01,256.53,296.01,336.03,369.98,398.21,406.15,408.89,424.80,430.61,449.76,465.02,457.24,444.78,427.44,426.70,462.57,488.43,517.85,545.46,560.04,551.94,537.10,524.37,540.10,555.95,616.58,601.23,641.57,685.63,724.66,765.81,720.20,746.94,755.86,806.40,834.20,856.89,803.98,756.62,743.19,24581.66
Estonia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,65.74,64.97,65.63,65.96,68.13,67.14,59.12,31.70,33.96,31.77,25.32,27.00,27.04,26.94,24.52,22.14,25.64,28.46,27.11,27.59,28.04,29.17,31.19,29.54,26.68,27.56,26.78,31.51,30.98,28.99,29.18,28.60,29.91,29.69,30.77,1254.44
Finland,110.57,134.50,141.25,159.51,184.59,207.46,215.13,227.92,254.96,223.22,231.32,246.89,244.57,246.78,260.64,251.47,241.47,224.33,209.23,211.64,214.75,225.12,225.91,225.14,225.71,234.45,232.58,228.56,220.30,229.59,209.26,216.54,214.16,225.68,227.59,225.47,221.75,227.76,237.52,223.34,231.59,224.70,226.99,222.20,209.26,219.22,208.50,199.88,215.02,203.78,201.99,216.60,206.86,206.56,192.61,11904.43
France,1065.50,1145.22,1315.16,1418.66,1641.93,1860.04,2022.42,2237.73,2499.08,2374.83,2181.48,2349.02,2272.07,2398.83,2388.39,2219.99,2023.30,1883.32,1849.98,1786.55,1769.06,1809.70,1824.20,1807.44,1857.16,1894.61,2001.13,1995.51,1924.49,1861.74,1875.54,1910.83,1928.81,1995.92,2023.38,1986.12,2001.84,1944.97,1943.81,1954.91,1931.79,1924.58,1875.99,1831.92,1761.71,1703.34,1666.47,1609.85,1596.74,1543.33,1544.87,1529.44,1539.29,1537.64,1530.33,102371.94
Germany,1708.63,1915.97,1997.31,2233.02,2520.93,2765.05,2888.11,3036.93,3249.33,2956.81,2874.85,3097.39,3072.85,3229.59,3336.60,3014.44,2753.70,2608.49,2564.04,2555.17,2643.50,2778.55,2719.68,2723.18,2571.51,2684.62,2810.18,2827.03,2881.34,2858.50,2859.59,2899.14,2893.63,2895.90,2803.27,2740.80,2779.65,2685.36,2632.05,2597.09,2549.93,2541.80,2304.83,2434.26,2338.87,2372.84,2293.60,2276.33,2336.16,2272.67,2269.13,2307.50,2374.48,2259.74,2281.05,144876.97
Greece,84.77,92.82,109.21,112.24,119.95,129.85,143.34,164.90,192.44,179.70,190.97,203.19,208.21,228.01,240.88,246.01,231.50,236.59,226.77,232.09,241.93,244.39,265.43,273.29,297.58,323.67,327.99,332.40,341.60,349.67,364.70,380.09,384.85,402.28,392.30,408.60,416.54,421.13,438.99,430.37,436.50,459.28,465.36,438.84,416.92,379.75,359.28,318.42,300.24,298.49,309.26,310.52,320.03,315.64,328.00,16067.83
Hungary,73.12,80.92,86.06,90.23,101.01,117.53,132.70,144.07,163.11,178.35,202.54,212.47,225.92,249.26,236.21,230.51,221.40,210.49,199.96,207.73,212.14,197.40,206.55,192.34,188.37,195.29,166.28,168.27,160.10,166.94,156.83,144.72,147.66,154.67,148.55,143.42,140.83,139.33,131.31,135.84,157.67,167.89,167.40,159.33,149.07,141.28,150.98,138.83,138.60,153.98,163.81,161.10,172.78,184.21,185.58,9052.94
Iceland,9.40,10.12,9.88,10.52,9.71,9.96,10.83,11.58,13.46,12.51,11.82,11.82,12.39,13.01,12.56,11.59,11.36,10.44,10.13,10.55,10.66,10.80,11.74,12.23,13.15,13.39,12.59,13.47,13.97,14.16,14.26,15.93,15.66,16.08,16.15,16.43,15.42,16.02,16.23,17.00,17.36,17.62,17.66,16.32,15.17,14.54,14.36,14.18,14.85,15.56,16.97,18.71,20.94,22.18,19.36,764.78
India,252.23,281.53,289.38,324.33,392.35,390.32,416.36,447.40,473.67,464.38,476.86,502.90,542.09,588.41,633.68,643.38,696.95,727.63,765.40,822.81,895.98,944.13,974.26,1069.49,1163.70,1210.14,1230.35,1291.88,1308.23,1405.97,1573.24,1692.73,1823.07,1959.39,2147.79,2257.82,2285.02,2456.95,2526.14,2598.06,2656.35,2791.09,2996.96,3132.22,3298.34,3378.13,3541.50,3739.99,3780.51,3905.90,4230.43,4631.81,4860.41,5111.77,5270.73,100272.52
